"106383","3330","1001","432","0","1402","EX","2019-01-26","2448925","N",\N,"10480","2019-01",\N,"2019-01-26 15:44:55","1614",\N,\N,"N",\N,\N
"115535","2639","1001","470","0","1402","EX","2019-01-26","7962495","N",\N,"12173","2019-01",\N,"2019-01-27 11:14:28","1665",\N,\N,"N",\N,\N
"112899","3396","1001","483","0","1402","EX","2019-01-26","8850555","N",\N,"11724","2019-01",\N,"2019-01-26 20:15:31","1647",\N,\N,"N",\N,\N
"112890","2447","1001","489","0","1402","EX","2019-01-26","1719725","N",\N,"11723","2019-01",\N,"2019-01-26 20:13:13","1231",\N,\N,"N",\N,\N
"111209","1224","1001","521","0","1402","EX","2019-01-26","6701295","N",\N,"11343","2019-01",\N,"2019-01-26 17:43:40","774",\N,\N,"N",\N,\N
"108860","1263","1001","524","0","1402","EX","2019-01-26","12247445","N",\N,"10759","2019-01",\N,"2019-01-26 16:28:02","671",\N,\N,"N",\N,\N
"110677","2781","1001","525","0","1402","EX","2019-01-26","5011695","N",\N,"11234","2019-01",\N,"2019-01-26 17:21:09","1393",\N,\N,"N",\N,\N
"110424","2323","1001","548","0","1402","EX","2019-01-26","10491855","N",\N,"11172","2019-01",\N,"2019-01-26 17:14:13","1032",\N,\N,"N",\N,\N
"124194","1708","1001","558","0","1402","EX","2019-01-28","6053665","N",\N,"13464","2019-01",\N,"2019-01-28 23:37:14","844",\N,\N,"N",\N,\N
"122231","1924","1001","568","0","1402","EX","2019-01-26","9439575","N",\N,"13193","2019-01",\N,"2019-01-28 17:34:16","849",\N,\N,"N",\N,\N
"124632","1280","1001","584","0","1402","EX","2019-01-29","10388755","N",\N,"13569","2019-01",\N,"2019-01-29 12:42:04","907",\N,\N,"N",\N,\N
"124631","1280","1001","584","0","1402","EX","2019-01-29","10388755","N",\N,"13568","2019-01",\N,"2019-01-29 12:40:57","907",\N,\N,"N",\N,\N
"109894","2122","1001","585","0","1402","EX","2019-01-26","1268835","N",\N,"11075","2019-01",\N,"2019-01-26 17:01:40","1151",\N,\N,"N",\N,\N
"127331","3644","1000","635","0","1402","EX","2019-01-30","14562245","N",\N,"13973","2019-01",\N,"2019-01-30 16:48:07","1787",\N,\N,"N",\N,\N
"120429","3909","1000","642","0","1402","EX","2019-01-26","5152625","N",\N,"12878","2019-01",\N,"2019-01-28 10:56:45","1840",\N,\N,"N",\N,\N
"112782","457","1000","670","0","1402","EX","2019-01-26","14697575","N",\N,"11684","2019-01",\N,"2019-01-26 20:03:13","1828",\N,\N,"N",\N,\N
"120094","1386","1000","691","0","1402","EX","2019-01-26","16746765","N",\N,"12839","2019-01",\N,"2019-01-28 10:15:11","999",\N,\N,"N",\N,\N
"118809","614","1000","791","0","1402","EX","2019-01-27","2639545","N",\N,"12633","2019-01",\N,"2019-01-27 21:52:17","1607",\N,\N,"N",\N,\N
"117904","479","1003","975","0","1402","EX","2019-01-26","14876605","N",\N,"12544","2019-01",\N,"2019-01-27 19:23:14","467",\N,\N,"N",\N,\N
"89786","1502","1002","1100","0","1402","EX","2019-01-26","21746075","N",\N,"9540","2019-01",\N,"2019-01-26 12:11:46","850",\N,\N,"N",\N,\N
"113337","3011","1002","1115","0","1402","EX","2019-01-26","1653355","N",\N,"11805","2019-01",\N,"2019-01-26 21:22:04","1371",\N,\N,"N",\N,\N
"124473","2305","1004","1636","0","1402","EX","2019-01-26","3732425","N",\N,"13519","2019-01",\N,"2019-01-29 11:00:53","937",\N,\N,"N",\N,\N
